id,toponym,ski_slope,psi_intervall,geol_class,soil_class,humus_type,vegetation_class,pasture,ground_cover,slope,geomorphon,soil_depth,skeleton,embedded_rock_type,soiltexture,bulk_density,total_pore_volume_10,coarse_pore_volume_10,pre_moisture,moisture_intervall,saturation_deficit,saturation_deficit_intervall
155_1_1,meran2000,no,0.35,Anthropogenic debris,disturbed_soil,mull,grassland,no,98,20.87,mid-slope,mittelgründig,5,EHO,lS,0.66,75.67,29.3,21.45,45.8,0.68276270058419,0.32263550987207
156_1_1,meran2000,no,0,Glacial sediment,disturbed_soil,none,grassland,no,85,21.06,trench,sehr flachgründig,60,LOC,S,1.05,47.33,41.2,3.4,33.1,0.871746863883168,0.569976544175137
157_1_1,meran2000,no,0.23,Glacial sediment,disturbed_soil,mull,grassland,no,90,20.79,mid-slope,flachgründig,30,LOC,lS,1.37,50.95,33.25,17.15,23.25,0.663395485770363,0.543670264965653
158_1_1,meran2000,no,0.77,Glacial sediment,regosol_phaeozem_umbrisol_folic-histosol,mull,grassland,intensive,99,19.05,mid-slope,mittelgründig,5,EHO,lS,0.44,79.7,17,37,41.65,0.549905723496138,0.49333982117876
159_1_1,meran2000,no,0.01,Anthropogenic debris,cambisol_cambic-phaeozem_cambic-umbrisol,none,grassland,no,90,31.95,escarpment,mittelgründig,45,LOC,lS,1.17,53.41,28.15,6.85,17.8,0.871746863883168,0.666729076951882
160_1_1,meran2000,no,0.67,Talus/Scree,disturbed_soil,mull,grassland,medium,100,12.54,mid-slope,mittelgründig,5,EHO,sL,0.61,78.49,20.95,33.9,47.35,0.546942866688941,0.367190110257267
161_1_1,meran2000,no,0.04,Anthropogenic debris,disturbed_soil,none,grassland,no,90,27.92,trench,mittelgründig,30,LOC,S,1.07,56.45,41.2,6.38,22.2,0.886979627989371,0.606731620903454
162_1_1,meran2000,no,0,Anthropogenic debris,regosol_phaeozem_umbrisol_folic-histosol,none,grassland,no,80,20.57,mid-slope,mittelgründig,40,LOC,lS,1.23,55.66,34.9,21.55,35.4,0.564558496665993,0.284703980602142
163_1_1,meran2000,yes,0.82,Glacial sediment,cambisol_cambic-phaeozem_cambic-umbrisol,moder,grassland,intensive,90,14.61,mid-slope,mittelgründig,10,EHO,sL,0.45,87.01,18.6,37.67,47.6,0.544773413897281,0.424773413897281
164_1_1,meran2000,yes,0.69,Talus/Scree,disturbed_soil,none,grassland,medium,95,14.25,mid-slope,mittelgründig,30,LOC,lS,1.22,58.31,27.05,25.5,36.4,0.539378612716763,0.342485549132948
171_2_1,patscherkofel,no,0.37,"Glacial sediment, potentially very loose",regosol_phaeozem_umbrisol_folic-histosol,moder,shrubs,low,100,27.37,lower-slope,mittelgründig,5,LOC,sU,0.33,74.38,19.89,56.75,63.85,0.231381055676067,0.0327969036463639
171_2_2,patscherkofel,no,0.25,"Glacial sediment, potentially very loose",regosol_phaeozem_umbrisol_folic-histosol,moder,shrubs,low,100,27.37,lower-slope,mittelgründig,10.5,LOC,sU,0.45,75.85,6.2,57.88,63.7,0.289173201265649,0.106481481481481
172_2_1,patscherkofel,yes,0.15,"Glacial sediment, potentially very loose",disturbed_soil,moder,grassland,medium,100,19.22,mid-slope,mittelgründig,5,EHO,sU,0.81,61.43,7.43,38.55,47.95,0.355782085561497,0.198696524064171
172_2_2,patscherkofel,yes,0.07,"Glacial sediment, potentially very loose",disturbed_soil,moder,grassland,medium,100,19.22,mid-slope,mittelgründig,5,EHO,sU,0.81,61.43,7.43,25.1,56.85,0.580548128342246,0.049966577540107
173_2_1,patscherkofel,yes,0.18,"Glacial sediment, potentially very loose",cambisol_cambic-phaeozem_cambic-umbrisol,moder,grassland,medium,95,13.37,mid-slope,mittelgründig,5,EHO,sU,0.62,61.39,6.2,38.35,37.4,0.346566706423581,0.362753450332254
173_2_2,patscherkofel,yes,0.03,"Glacial sediment, potentially very loose",cambisol_cambic-phaeozem_cambic-umbrisol,moder,grassland,medium,95,13.37,mid-slope,mittelgründig,5,EHO,sU,0.62,61.39,6.2,37.5,69.3,0.3841642228739,0.0422586520947177
174_2_1,patscherkofel,no,0.21,"Glacial sediment, potentially very loose",cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,medium,50,29.25,escarpment,mittelgründig,10.5,EHO,sU,0.59,78.49,14.14,35.7,53.3,0.357986646122239,0.0334728033472804
174_2_2,patscherkofel,no,0.04,"Glacial sediment, potentially very loose",cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,medium,50,29.25,escarpment,mittelgründig,20,EHO,sU,0.33,65.92,6.2,49.4,69.3,0.413361762615494,0.0327969036463639
